SpinWorks integral list for:    C:\Users\Lois\Dropbox\For Lois\Working\LMO_4ClAP_1\10\

peak #   start (ppm)   end (ppm)  intensity  intensity(Absolute)

001    8.008  7.795  1.0000  297274
002    7.818  7.593  .5096  151505
003    7.569  7.307  .9808  291566
004    5.882  5.632  .4969  147706
005    3.422  3.232  .2932  87150
006    3.220  3.030  1.4847  441370
007    2.970  2.804  1.4596  433907
008    2.566  2.376  .1659  49308
